State_Name,State_District_Name,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Total,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Rural,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Urban,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Total,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Rural,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Urban
Assam,Karbi Anglong,74.3,73.9,75.9,45.1,45,45.2,30.5,29.8,33.4,40.8,42.9,32.3,7.8,8.7,4.4,1.8,1.7,2.1,1.3,1.2,1.7,5.7,5.7,5.8,6,6,6.2,7.8,7.8,7.8,9.5,9.6,9.1,9.7,9.7,9.4
Assam,Karimganj,64.5,64.6,NA,30.8,30.8,NA,62.5,63,NA,65.4,65.9,NA,21.4,21.6,NA,1.6,1.6,NA,1.8,1.7,NA,3.7,3.7,NA,4.1,4.1,NA,6.8,6.8,NA,8.6,8.6,NA,9.5,9.5,NA
Assam,Kokrajhar,84.5,85.2,NA,12.1,11.2,NA,56.3,56.8,NA,53.4,53.7,NA,32.5,32.7,NA,3.7,3.4,NA,0.8,0.6,NA,5,5,NA,5.1,5.1,NA,6.1,6.1,NA,8.7,8.7,NA,9.6,9.6,NA
Assam,Lakhimpur,82.2,82.5,NA,31.1,31,NA,29.2,27.3,NA,23.3,22.5,NA,3.6,3.4,NA,1.2,1,NA,1.3,1.1,NA,5.8,5.9,NA,6.2,6.3,NA,7.7,7.6,NA,8.8,8.8,NA,9.4,9.4,NA
Assam,Marigaon,78.9,78.8,81.2,32.6,32.5,34.5,45.9,46.2,38.1,35,35.2,31.4,14.9,15,12.1,2,2,0.9,1.2,1.2,0.4,5.2,5.2,5.4,5.6,5.6,5.8,7,7,7.1,8.9,8.9,9,9.5,9.5,9.5
Assam,Nagaon,70.6,70.6,71,54.2,54.4,53,25.9,24.9,32.7,31.6,31,35.9,13.4,13.7,11.3,1.7,1.7,1.8,1.1,1.1,1.6,5.9,5.9,5.7,6,6.1,5.8,7.7,7.7,7.5,9.4,9.5,9.3,9.7,9.7,9.7
Assam,Nalbari,74.7,74.8,NA,47.7,47.9,NA,28.8,28.7,NA,21.8,21.9,NA,8.5,8.6,NA,0.9,0.9,NA,0.5,0.5,NA,5.9,5.9,NA,6.3,6.3,NA,7.4,7.4,NA,9.2,9.2,NA,9.6,9.6,NA
Assam,North Cachar Hills,80.4,82.1,78.7,38.3,43.6,32.9,41.2,40.5,42,47.2,46.7,47.8,11,11.4,10.7,3.2,2.9,3.4,1.8,1.9,1.6,5.3,5.3,5.2,5.4,5.6,5.2,7.5,7.5,7.5,8.7,8.6,8.8,9.1,9.1,9.2
Assam,Sibsagar,83.1,84.5,63.2,44.7,43.4,62.9,27.2,27.9,17.1,31.7,32.7,17.8,8.1,7.9,10.5,1.5,1.3,4.6,0.7,0.7,1.3,5.9,5.9,6.3,6.1,6.1,6.8,7.5,7.5,7.7,8.9,8.9,9.2,9.1,9.1,9.3
Assam,Sonitpur,76.2,76.6,72.2,31.3,31.4,30.5,44,43.3,50.7,34.7,33.7,43.5,9.7,9.7,9.1,2,2,1.9,1.8,1.8,1.7,5.2,5.2,5.1,5.6,5.7,5.2,7.2,7.3,6.9,9,9,8.9,9.7,9.7,9.3
Assam,Tinsukia,80.1,81.7,70.8,43.6,43.4,44.4,28.6,28.5,29,26.6,26.6,27.1,11.9,11.9,11.9,2.5,2.6,1.9,1.6,1.7,1.1,5.8,5.8,5.7,6.2,6.2,6,7.5,7.5,7.6,8.9,8.9,9,9.1,9.1,9.3
Bihar,Araria,37.3,38.3,NA,11.6,12,NA,84.9,84.4,NA,59.9,60.8,NA,7,7,NA,1.4,1.4,NA,0.9,1,NA,3.5,3.5,NA,4.9,4.9,NA,7.5,7.5,NA,9.5,9.5,NA,11.1,11.1,NA
Bihar,Aurangabad,35.6,35.8,33.9,19.1,18.8,21.9,67.9,67.4,72.4,67.2,67.2,67.4,9,9.1,8.1,5.4,5.3,7.2,5.2,5,7.2,3.4,3.4,2.9,3.8,3.8,3.7,7,7,7.1,8.9,8.9,9,10,10,10
Bihar,Banka,44.2,43.9,NA,40.5,40.4,NA,43.6,43.3,NA,45.5,44.9,NA,4,3.8,NA,2.9,2.9,NA,2.5,2.5,NA,5.1,5.1,NA,5,5,NA,7.7,7.7,NA,9.4,9.4,NA,10.4,10.4,NA
Bihar,Begusarai,35.8,35.5,NA,33.4,33.4,NA,51.4,51.3,NA,60.4,61.1,NA,5.7,5.7,NA,3.9,4,NA,2.7,2.7,NA,4.7,4.6,NA,4.7,4.6,NA,7.9,7.9,NA,9.7,9.7,NA,10.9,10.9,NA
Bihar,Bhagalpur,41.7,41.5,42.9,40.3,40.8,37.4,41.8,42.4,37.4,51.2,51.8,47.6,4.7,4,8.8,3.9,4,3.7,2.7,2.8,2.4,5.1,5.1,5,4.8,4.7,4.9,7.8,7.8,7.5,9.4,9.5,9.2,10.4,10.4,10.2
Bihar,Bhojpur,32.7,32.3,35.7,21.7,21.6,22.5,67.2,67.1,68,70.5,71.1,65.9,11.3,11.2,12.5,7.6,7.6,7.9,6.7,6.9,5.2,3.6,3.7,3.4,3.9,3.9,3.9,6.9,7,6.8,8.9,8.9,8.5,9.7,9.7,9.6
Bihar,Buxar,35.7,35.7,35.6,31.1,31,31.9,59.7,59.7,59.3,70.7,72,54.1,8.1,8.3,5.2,4.7,4.7,4.6,4.3,4.4,3.6,3.4,3.4,3.4,4.2,4.2,4.5,7.4,7.4,7.6,9.2,9.1,9.3,9.8,9.8,10
Bihar,Darbhanga,33.5,33.2,38.6,16.6,17.5,4.8,79.6,78.6,92.8,68.2,67.3,80.7,14.8,15.3,7.8,1.5,1.5,1.2,0.3,0.3,0.6,3.8,3.8,3.6,4.8,4.8,4.5,6.9,6.9,6.7,8.9,8.9,9.7,10.6,10.6,11.6
Bihar,Gaya,33.4,35.6,24.4,18.6,19.6,14.3,71,70.6,72.7,74,73.6,75.9,7.4,7.4,7.4,3.8,4,2.8,3.6,3.7,3.4,3,3,2.8,3.3,3.4,3.1,7.1,7.1,6.9,9.3,9.4,9.2,10.5,10.6,10.2
Bihar,Gopalganj,37.5,37.5,36.6,41.3,40.5,51.7,55.8,56.4,46.3,54.9,55.9,40.7,5.4,5.2,7.9,1.1,1.1,0.9,0.6,0.6,0.5,4.8,4.8,5.4,5.5,5.4,6,8.1,8.1,8,9.9,9.9,9.9,11.4,11.5,11.3
Bihar,Jamui,36.6,36.2,NA,33.1,33.1,NA,45.8,44.8,NA,50.6,49.9,NA,6.3,6.4,NA,3.8,3.9,NA,2.8,2.9,NA,4.9,4.9,NA,4.7,4.7,NA,7.4,7.4,NA,9.1,9.1,NA,10,10,NA
Bihar,Jehanabad,45,45.6,39.3,21.2,20.6,27.9,64.6,64.8,62.7,72.9,72.9,73.1,7.9,7.8,8.1,5.1,4.9,6.5,4.6,4.2,7.8,3.8,3.8,3.6,3.7,3.8,3.7,7,7,7.1,9.4,9.4,9.3,10.4,10.4,10.4
Bihar,Kaimur (Bhabua),43.7,43.8,NA,30.5,30.1,NA,55.9,56.1,NA,64.3,64.6,NA,5.5,5.3,NA,4.1,3.9,NA,3.6,3.5,NA,4.4,4.4,NA,4.3,4.3,NA,7.5,7.5,NA,9.5,9.5,NA,10.2,10.2,NA
Bihar,Katihar,32.8,31.9,51,41.6,42.4,23.7,53.9,53,73.2,50.6,49.8,66.7,3.9,3.6,9.8,0.9,0.9,1.3,0.6,0.6,1.3,4.7,4.8,3.8,5.3,5.3,4.2,8.2,8.3,6.9,10.3,10.3,10,11.6,11.6,11.2
Bihar,Khagaria,57.8,57,72.8,42.2,41.9,47.2,51,51.7,39.3,42.6,43,36.8,8.6,8.9,3.3,1.8,1.8,0.4,0.8,0.8,0,4.7,4.7,4.9,5.4,5.5,5.2,7.8,7.8,7.9,9.7,9.6,10.1,11.1,11,11.7
Bihar,Kishanganj,26,24.8,39.3,52.2,54.8,25.2,46.1,44.3,65.4,43,42.7,46.3,3.6,3.2,8.4,0.7,0.7,0.9,0.4,0.4,0.5,4.6,4.6,3.9,5.6,5.6,4.7,7.8,7.9,7.4,9.7,9.7,9.6,11.2,11.2,11.4
Bihar,Lakhisarai,39.1,39.8,32.8,29.5,29.7,27.3,63.7,63.7,63.8,62.7,61.9,69.3,6.2,6.3,5.3,4.7,4.8,3.4,3.4,3.4,3.4,3.4,3.4,3.2,4.6,4.6,4.3,7.7,7.7,7.7,9.4,9.4,9.5,10.5,10.5,10.5
Bihar,Madhepura,32.7,32.6,NA,29.4,29.3,NA,64.4,64.5,NA,54.4,54.3,NA,3.6,3.7,NA,0.8,0.9,NA,0.6,0.6,NA,4.5,4.5,NA,5.3,5.3,NA,7.9,7.9,NA,9.8,9.8,NA,11.3,11.3,NA
Bihar,Madhubani,34,33.5,NA,27.6,27.7,NA,70.4,70.3,NA,54.2,53.8,NA,12.7,12.9,NA,3,3,NA,1.1,1.1,NA,3.8,3.8,NA,5.2,5.3,NA,7.2,7.2,NA,9.1,9.1,NA,10.6,10.5,NA
Bihar,Munger,45.4,44.8,47.3,37.4,39.3,31.4,48.7,49.1,47.6,52.2,50.4,57.5,5.5,5.1,6.7,3.9,3.6,5.1,2.8,2.4,4.3,4.7,4.8,4.5,4.7,4.8,4.4,7.7,7.7,7.5,9.5,9.4,9.5,10.5,10.5,10.5
Bihar,Muzaffarpur,41.6,41.2,49,12.6,12.8,8,82.5,82.3,86.2,48.4,47.9,57.2,6.1,6.1,5.5,1,1,0,0.6,0.7,0,4,4,3.5,5.5,5.6,5.1,8,8,7.6,9.9,9.9,9.7,11.8,11.8,11.7
Bihar,Nalanda,40.6,40.5,40.8,21.5,21.1,23.6,67.3,67.1,68.4,65.3,64.9,67.8,6,6.3,4.6,3.6,3.8,2.7,3.2,3.2,3,3.7,3.7,3.6,4.1,4.1,3.9,7.2,7.2,7.2,9.2,9.2,9.3,10.2,10.2,10.1
Bihar,Nawada,33.2,33.3,32.1,19.3,19.6,15.8,67.5,67.3,69.6,71,71,71.7,9,9,9.8,5.1,5,6,5,4.8,6.5,3.4,3.5,3.1,3.6,3.6,3.4,7.1,7.1,6.7,9.2,9.2,9.2,10.2,10.2,9.5
Bihar,Pashchim Champaran,21.7,22.1,15.8,42.9,42.7,46.6,57.3,57.5,53.3,61.1,61,62.5,14.5,14.7,10.8,7.6,8,1.7,5.3,5.6,0,3.9,3.8,4.3,4.5,4.5,4.8,7.3,7.3,7.7,9.4,9.4,10.5,11.1,11.1,12.1
Bihar,Patna,38,37.3,39.2,26.8,27.8,25.1,55.6,54.8,56.9,60.1,61.6,57.7,8.5,7.6,10.1,5.5,5.5,5.5,5.2,5.5,4.7,4.1,4.2,4,4.3,4.3,4.4,7.2,7.3,7.1,9.1,9.1,9.1,10,10,9.9
Bihar,Purba Champaran,15.8,15.5,NA,47.1,48.2,NA,52,51.2,NA,45.6,45.1,NA,6.9,7,NA,2.6,2.6,NA,2,1.8,NA,4.2,4.2,NA,5.4,5.4,NA,8,8,NA,10,10,NA,11.6,11.6,NA
Bihar,Purnia,57.5,56.7,NA,24.3,24.5,NA,72.2,72.2,NA,69.8,70.2,NA,4.1,2.9,NA,1.3,1,NA,0.8,0.6,NA,4.5,4.5,NA,4.9,4.9,NA,7.8,7.9,NA,10,10.1,NA,11.3,11.4,NA
Bihar,Rohtas,36.4,37,30.9,26.3,26.4,25.1,57.3,57.5,55.5,67.1,67.1,67.2,7.9,8.1,6.3,6,6.1,4.7,4.7,4.7,4.7,4.2,4.2,4,4.1,4.1,3.9,7.2,7.2,7,9.1,9,9.2,10,10,10.3
Bihar,Saharsa,33.7,33.3,37.1,15.6,15.7,14.6,78.9,78.6,81.9,67.5,67.5,67.9,7,6.9,8,2.1,2.3,0,0.9,0.9,0.3,4,4,4,4.7,4.7,4.6,7.5,7.4,7.7,9.7,9.6,10.2,10.9,10.9,11.1
Bihar,Samastipur,41.9,41.4,NA,31.8,32.4,NA,62.1,61.7,NA,58,57.3,NA,3.6,3.5,NA,1.4,1.5,NA,1.1,1.1,NA,4.8,4.8,NA,5.4,5.4,NA,8,8,NA,10,10,NA,11.5,11.5,NA
Bihar,Saran,34.4,33.8,40.3,27.9,27.8,29.1,66.3,66,69.4,70.1,69.8,72.6,8.5,8.6,7.3,2.7,2.9,1,1.4,1.5,0.7,4.2,4.3,3.5,4.6,4.7,3.9,7.5,7.5,7.7,9.6,9.6,9.9,11.4,11.4,12
Bihar,Sheikhpura,37.2,37.7,32.8,26.6,26.3,29.4,61,62,52.7,72,71.3,78.9,5.8,6,3.9,3,3.1,2.3,2.7,2.7,2.7,3.8,3.8,3.8,3.7,3.8,3.6,7.2,7.1,7.4,9.3,9.2,9.8,10.5,10.4,10.7
Bihar,Sheohar,35,31.6,NA,23.2,23,NA,70.4,71.7,NA,70,70.4,NA,6.6,6.6,NA,1.6,1.6,NA,0.6,0.6,NA,4.3,4.3,NA,5,5,NA,7.6,7.6,NA,9.8,9.7,NA,11.4,11.4,NA
Bihar,Sitamarhi,33.9,34.4,NA,37.5,37.6,NA,54.1,54.1,NA,47.9,48,NA,6,5.6,NA,1.2,1.1,NA,0.7,0.7,NA,4.8,4.8,NA,5.6,5.6,NA,8,8,NA,9.9,10,NA,11.5,11.5,NA
Bihar,Siwan,48,48.1,47.4,56.8,58,46.6,38.1,36.9,48.1,37.8,36,52,3.8,4,2.4,1.2,1.3,0.6,1,1.1,0.6,5.1,5.2,4.7,5.8,5.8,5.4,8.1,8.1,8.2,10,10,10.2,11.7,11.7,11.8
Bihar,Supaul,35.9,35.5,NA,12.1,11.8,NA,83.3,84.1,NA,79.3,80.3,NA,8.2,8.3,NA,1.5,1.4,NA,1,0.9,NA,3.9,3.9,NA,4.4,4.3,NA,7.1,7,NA,9.2,9.2,NA,10.6,10.6,NA
Bihar,Vaishali,54.9,54.7,59.6,58.8,58.7,59,34.3,34.3,32.4,42.4,42.6,39,3.5,3.5,2.9,2.2,2.3,0.7,2,2.1,0.7,5.1,5.1,5.5,5.1,5.1,5.2,7.9,7.8,8.3,10,10,10.1,11.9,11.9,11.8
Chhattisgarh,Bastar,92.46,92.68,89.33,73.17,73.66,66.33,19.02,18.41,27.67,21.69,21.15,29.33,3.94,4.1,1.67,3.04,3.16,1.33,3.02,3.12,1.67,5.96,5.96,5.94,6.04,6.05,5.82,7.59,7.58,7.72,9.01,8.99,9.21,10.28,10.24,10.88
Chhattisgarh,Bilaspur,53.52,52.09,57.81,41.96,40.68,45.87,52.74,54.8,46.6,47.57,45.96,52.38,3.63,3.46,4.16,1.96,1.88,2.21,1.81,1.84,1.7,5.32,5.3,5.39,5.49,5.56,5.28,7.66,7.72,7.5,8.98,9.02,8.86,10.77,10.87,10.47
Chhattisgarh,Dantewada,83.61,83.88,81.26,70.64,68.39,90.32,26.58,28.79,7.3,33.38,34.33,25.05,4.29,4.38,3.55,2.68,2.67,2.76,2.41,2.41,2.37,5.6,5.53,6.4,5.7,5.69,5.72,7.37,7.35,7.56,8.77,8.71,9.24,10.36,10.26,11.2
Chhattisgarh,Dhamtari,80.31,80.41,79.48,52.62,53.47,45.71,28.34,27.94,31.67,45.5,44.94,50.2,6.47,6.53,5.98,4.1,4.27,2.59,4.17,3.91,6.37,5.81,5.83,5.66,5.26,5.27,5.25,7.32,7.31,7.35,8.74,8.75,8.71,11.2,11.24,10.94
Chhattisgarh,Durg,83.52,86.69,77.01,47.04,50.13,40.76,51.85,49.06,57.58,51.99,49.75,56.58,9.42,8.06,12.22,7.01,5.79,9.49,7.19,5.58,10.49,5.21,5.24,5.15,5.19,5.23,5.12,7.27,7.29,7.23,8.52,8.54,8.49,10.63,10.63,10.64
Chhattisgarh,Janjgir-Champa,48.1,46.93,60.51,53.06,55.31,29.07,43.23,41.52,61.46,38.74,36.84,58.92,6.22,4.66,22.93,3.98,2.53,19.43,3.84,2.29,20.38,5.39,5.42,4.99,5.56,5.61,5,7.57,7.61,7.2,8.75,8.78,8.43,10.61,10.67,9.88
Chhattisgarh,Jashpur,50.3,50.26,NA,49.8,49.7,NA,47.86,48,NA,39.69,39.5,NA,8.91,9.11,NA,4.51,4.63,NA,5.43,5.58,NA,5.32,5.31,NA,5.52,5.52,NA,7.12,7.12,NA,8.31,8.32,NA,9.92,9.91,NA
Chhattisgarh,Kanker,81.83,82.49,NA,71.11,72.67,NA,16.86,16.75,NA,30.97,29.82,NA,4.27,4.38,NA,3.17,3.27,NA,2.8,2.88,NA,6.24,6.24,NA,5.87,5.89,NA,7.66,7.64,NA,9.06,9.04,NA,11.44,11.39,NA
Chhattisgarh,Kawardha,74.47,74.45,NA,30.58,31.06,NA,68.97,68.89,NA,58.05,59.31,NA,9.9,10.86,NA,5.36,5.78,NA,4.69,5.17,NA,4.6,4.55,NA,5.09,5.05,NA,7.29,7.19,NA,8.85,8.78,NA,11.33,11.25,NA
Chhattisgarh,Korba,54.17,47.32,67.11,43,40.64,47.44,55.67,57.73,51.78,47.65,48.9,45.28,12.42,13.14,11.05,10.65,11.91,8.26,7.95,8,7.85,5.16,5.11,5.25,5.32,5.33,5.31,7.17,7.14,7.24,8.42,8.33,8.61,10.54,10.36,10.88
